,article,dataset,Faithful Summary,Generic Summary
23,"Many people have experienced the loss of a childhood pet, but for one little boy, a funeral for his goldfish was almost too much to bear. The pet in question? A goldfish, named Top. Brooke Geherman, from Alberta, Canada, posted a video of her young son, Kowen, sending off his beloved pet the right way: by flushing it down the toilet. Young Kowen is devastated by the loss of his pet goldfish, Top, and holds a toilet funeral . The home video is filmed by mother, Brooke Geherman, and sees Kowen stood in the family bathroom, cradling his deceased goldfish. She asks her son: 'Who's Top?' Kowen responds by pointing and responds solemnly: 'This one.' The young boy cradles the fish before kissing it repeatedly in a heartbreaking move . In a heartbreaking move, the young boy then proceeds to kiss the lifeless goldfish repeatedly. Canadian mum Brooke then asks: 'Where are you going to put him?' He gestures at the toilet and answers: 'In the toilet'. At which point, the boy drops the goldfish down the toilet and flushes it. As Top begins to circle the bowl, he looks at his mum in a mixture of surprise and shock . As the goldfish disappears, Kowen realises he will never see Top again and tears start brimming in his eyes . As the goldfish circles the bowl and disappears from sight, Kowen seems to come to the realisation that he will never see his goldfish again. He looks at his mum with tears brimming in his eyes, before bursting into tears. As he becomes more distressed, his mother comforts him, and he cries on her shoulder, shrieking the name of the fish repeatedly . The video is aptly captioned: 'Boy loses best friend'. It has so far racked up 374,551 views. One user commented comfortingly: 'Don't worry little boy, there's plenty of fish in the sea...' To which another user replied wistfully: 'But only one Top.'",cnndm,"A young boy from Alberta, Canada, named Kowen, was devastated after losing his pet goldfish, Top. His mother, Brooke Geherman, recorded a video of him giving Top a proper toilet funeral, which included kissing the fish before flushing it down the toilet. The video has received over 370,000 views and garnered sympathy from many viewers.","A young boy from Alberta, Canada, named Kowen was filmed by his mother, Brooke Geherman, holding a funeral for his pet goldfish, Top. The video shows Kowen holding the deceased fish, kissing it repeatedly, before putting it down the toilet and flushing it. Kowen becomes visibly devastated and starts crying, with his mother comforting him."
24,"Leeds striker Steve Morison admits he has never experienced anything like the current circus surrounding the SkyBet Championship side. Six players - Mirco Antenucci, Giuseppe Bellusci, Dario Del Fabro, Marco Silvestri, Souleymane Doukara and Edgar Cani - withdrew from the squad on the eve of Saturday's trip to Charlton citing injuries, and this is just the latest incident in another turbulent period at Elland Road. A 'freakish set of events' was how beleaguered boss Neil Redfearn described the sextet's absence after the game but Morison, who scored Leeds' goal in the 2-1 defeat at The Valley, told BBC West Yorkshire Sport: 'We're around it every day. Leeds United striker Steve Morison (centre) admits he is surprised by the chaos at Elland Road at the moment . Giuseppe Bellusci and three other Italians were among those who withdrew form the Leeds squad . Souleymane Doukara was another player that withdrew as part of the latest drama at Elland Road . 'People draw their own conclusions over what happened (with the withdrawals). It's a tough situation and you have to take everything at face value, but it's been like it all season in one way or another.' When asked if there was a split in the camp, the 31-year-old added: 'It's just been one of those seasons where every day something different has happened. 'I've never known anything like it in football and I've played for teams scrapping for their lives - Millwall last year - and teams that have been promoted. I've played in the Premier League with a bunch of Championship players that should never have stayed up and the one thing we had ultimately was a team and team spirit. 'Sometimes you can get away with being very, very average - I would class myself as an average footballer - but I've had a team around me and it works.' Former Leeds captain Trevor Cherry, meanwhile, branded the players who withdrew at short notice from Saturday's match a 'disgrace' and called for them to be sacked by the club. Italian quartet Antenucci, Bellusci, Del Fabro and Silvestri, Frenchman Doukara and Albanian Cani all told Redfearn they were injured and could not travel to London. According to the manager, Silvestri had been rested since sustaining a knock but had been expected to recover, while Antenucci and Cani declared themselves unfit after training on Thursday with the rest pulling out following a 'light' session on Friday. But Cherry was unimpressed and wants the players out of Elland Road. 'I would sack them and take the PFA (Professional Footballers' Association) on,' he said on BBC Radio Five Live's Sportsweek. 'I don't think players can do that, it's scandalous and it's just another story for Leeds United that is disgraceful.' Striker Antenucci used Twitter to defend himself, as did goalkeeper Silvestri who posted a picture of a cut on his back suffered against Norwich on Tuesday night. However, Cherry questioned if they were legitimate reasons to withdraw. 'In the old days you used to play with anything, cuts or one thing or another,' he said.",cnndm,"Leeds United striker Steve Morison has said that he has never seen anything like the situation currently surrounding Leeds. Six players - Antenucci, Bellusci, Del Fabro, Silvestri, Doukara, and Cani - withdrew from the squad on the eve of Saturday's trip to Charlton citing injuries, and this is just the latest incident in another turbulent period at Elland Road. Former Leeds captain Trevor Cherry branded the players a ""disgrace"" and called for them to be sacked by the club.","Leeds striker Steve Morison has spoken of his surprise at the chaos that surrounds Elland Road in the Championship side's current form. Six players, Antennuci, Bellusci, Del Fabro, Silvestri, Doukara and Cani withdrew from the squad on the eve of the Charlton trip on grounds of injury. Former Leeds captain, Trevor Cherry branded the player's actions a ""disgrace"" and suggested they should be sacked by the club."
25,"Ahead of this weekend's Premier League action, Sportsmail will be providing you with all you need to know about every fixture, with team news, provisional squads, betting odds and Opta stats. Here is all the information you need for Arsenal's home clash with Liverpool... Arsenal vs Liverpool (Emirates Stadium) Team news . Arsenal . Arsenal forward Danny Welbeck will face a fitness test on the knee injury picked up during international duty with England ahead of Saturday's Barclays Premier League clash against Liverpool. Club captain Mikel Arteta, full-back Mathieu Debuchy, midfielders Abou Diaby and Jack Wilshere all stepped up their rehabilitation in a friendly match on Tuesday, so will be assessed. Danny Welbeck picked up a knee injury while on international duty with England and remains a doubt . However, England midfielder Alex Oxlade-Chamberlain (hamstring) remains unavailable. Provisional squad: Ospina, Monreal, Koscielny, Gabriel, Bellerin, Coquelin, Cazorla, Ozil, Sanchez, Welbeck, Giroud, Szczesny, Walcott, Mertesacker, Rosicky, Ramsey, Chambers, Gibbs, Flamini. Liverpool . Liverpool striker Daniel Sturridge is expected to have recovered from a hip injury to face Arsenal on Saturday. The 25-year-old, along with midfielder Adam Lallana (groin), withdrew from the England squad last week but both are likely to be in contention to face the Gunners. Daniel Sturridge trained on Thursday ahead of Liverpool's trip to Arsenal in the Barclays Premier League . Centre-back Martin Skrtel and captain Steven Gerrard begin three-match suspensions with Dejan Lovren favourite to replace the former in defence. Provisional squad: Mignolet, Can, Lovren, Sakho, Sterling, Henderson, Lucas, Moreno, Sterling, Coutinho, Sturridge, Jones, Johnson, Toure, Allen, Markovic, Balotelli, Borini, Lambert. Kick-off: Saturday, 12.45pm - BT Sport 1 . Odds (subject to change): . Arsenal 5/6 . Draw 11/4 . Liverpool 3/1 . Referee: Anthony Taylor . Managers: Arsene Wenger (Arsenal), Brendan Rodgers (Liverpool) Head-to-head league record: Arsenal wins 63, draws 48, Liverpool wins 70 . Key match stats (supplied by Opta) Arsene Wenger’s side have kept four clean sheets and conceded just one goal in their last five Premier League home games. Liverpool have won just one of their last 18 away games in all competitions against Arsenal (W1 D7 L10). Liverpool v Arsenal has seen more hat-tricks than any other match in Premier League history (5). There have been eight 90th minute goals and two 45th minute goals scored in the last 12 Premier League meetings between Arsenal and Liverpool. Liverpool have kept just one clean sheet in their last 18 Premier League matches against Arsenal. Stewart Downing, Raul Meireles, Luis Suarez and Jordan Henderson celebrate after the Uruguay striker scored in the last minute to help Liverpool to a 2-0 win at Arsenal in August 2011 - a rare away victory . The Gunners have won their last eight Premier League games at the Emirates. The last time they were on a longer run was in November 2005 (13). Liverpool have equalled a club record six consecutive clean sheets away from home in the league and have now gone nine hours and 19 minutes on the road since they last conceded. Only Manchester United (7) have won",cnndm,"Arsenal will face Liverpool at Emirates Stadium on Saturday, with forward Danny Welbeck facing a fitness test on a knee injury picked up during international duty with England, and Alex Oxlade-Chamberlain remaining unavailable due to a hamstring injury. Liverpool striker Daniel Sturridge is expected to have recovered from a hip injury, and captain Steven Gerrard is set to begin a three-match suspension alongside centre-back Martin Skrtel. Liverpool have won only one of their last 18 away games against Arsenal, according to Opta stats supplied in the article.","Arsenal are set to host Liverpool at the Emirates Stadium with team news confirming that Danny Welbeck remains a doubt due to a knee injury picked up with England during international duty, while Alex Oxlade-Chamberlain remains unavailable due to hamstring issues. Liverpool striker, Daniel Sturridge, expected to have recovered from a hip injury, and midfielder, Adam Lallana (groin), are also likely to be in contention to play against Arsenal. Head-to-head league record statistics supplied by Opta revealed that Liverpool have only won one of their last 18 away games in all competitions against Arsenal, with eight 90th minute goals and two 45th minute goals scored in their last twelve Premier League meetings."
26,"(CNN)Two deputies involved in the fatal attempt to arrest Eric Harris in Tulsa, Oklahoma, have been reassigned because of threats against them and their families, Sheriff Stanley Glanz said Monday in a news conference. The deputies were trying to arrest Harris when Reserve Deputy Robert Bates shot him. Unlike Bates, they are not charged with a crime, but have come under criticism for pinning Harris' head to the ground as he said, ""I'm losing my breath."" Police appear on video saying, ""F*ck your breath,"" apparently in response. Sheriff Stanley Glanz didn't specify the nature of the threats, but said he was ""very concerned"" for their safety and that of their families. He did not say what the deputies had been assigned to do. Another sheriff's official said the office has temporarily suspended operations of the agency's drug unit pending the review of the April 2 shooting of Harris following a weapons sting. Glanz indicated he has not yet decided how to proceed with a review of their actions, saying any action may be delayed until after the court case involving Bates has been settled. Bates is charged with second-degree manslaughter in Harris' death. Bates, who is free on $25,000 bond pending trial, shot Harris with his handgun after calling out, ""Taser, Taser,"" -- an indication he planned to use a stun gun to subdue Harris following a brief foot chase with the other deputies. Amid questions about his age -- 73 -- training and friendship with Glanz, Bates has said the shooting was accidental, and has apologized to the family. Lawyer releases training records for Tulsa deputy charged in killing . On Monday, Glanz also apologized to Harris' family. ""We are sorry Eric was taken from you,"" he said. But he said his office holds itself to the highest national standards of policing, and said Monday that the FBI had cleared the agency of any civil rights violations in the shooting. Bates is white. Harris was black. There have been allegations, first reported by the Tulsa World newspaper, that some of Bates' training records had been forged, or that he was unqualified to be serving on the force. The sheriff denied those allegations, saying he was certain Bates had qualified on the gun range and had extensive additional training. He said he was unaware of any forgery involving training records, and said he had not issued any training waivers for Bates, with whom he has been friends for more than two decades. But he said he supported prosecutor's decision to proceed with the case. He also said he had brought in a Dallas police consultant who had previously examined the office's policies and procedures for another look. Harris' family has said the shooting reveals ""a deep-seated problem"" within the department and has demanded justice, and changes in policy.",cnndm,"Two deputies involved in the shooting of Eric Harris have been reassigned due to threats against them and their families. Although they are not charged with a crime, they have come under criticism for their actions in the fatal attempt to arrest Harris. Sheriff Stanley Glanz has not yet decided how to proceed with a review of their actions, until after the court case involving the charged deputy has been settled.","Two deputies involved in the fatal attempt to arrest Eric Harris in Tulsa, Oklahoma have been reassigned due to threats against them and their families, according to Sheriff Stanley Glanz. The deputies restrained Harris, an action that has been criticised, while Volunteer Deputy Robert Bates shot him which led to his death. Despite the criticism, the two deputies have not been charged with a crime."
27,"(CNN)Malala Yousafzai's stellar career has included a Nobel Peace Prize. Last week, she made it into outer space. A NASA astrophysicist has named an asteroid after the teenage education activist from Pakistan, who was gravely wounded by a Pakistani Taliban gunman for promoting the right of girls' to go to school. It took a meticulous medical response to save her life more than two years ago. But Malala recovered with no serious neurological damage to become a powerhouse for her cause. After reading her story, scientist Amy Mainzer, who also consults for PBS on a children's educational science show, decided Malala deserved to be immortalized. So, she attached her name to the heavens. Thousands of asteroids swarm through the solar system mainly between Mars and Jupiter. Mainzer, working at the Jet Propulsion Laboratory, discovered Asteroid 316201 in June 2010, which gave her the right to name it. ""My postdoctoral fellow Dr. Carrie Nugent brought to my attention the fact that although many asteroids have been named, very few have been named to honor the contributions of women (and particularly women of color),"" Mainzer wrote in a note to Malala. Mainzer gave it the name 316201 Malala, or 2010 ML48. Malala's asteroid circles the sun between Mars and Jupiter every five and half years, Mainzer said. ""It is about 4 kilometers in diameter, and its surface is very dark, the color of printer toner."" As a scientist, her support for Malala's work is logical. When girls around the world also get educations, it increases human potential. ""We desperately need the brainpower of all smart people to solve some of humanity's most difficult problems, and we can't afford to reject half the population's,"" Mainzer wrote.",cnndm,"A NASA astrophysicist has named an asteroid after Malala Yousafzai, the teenage education activist from Pakistan who was gravely wounded by a Pakistani Taliban gunman for promoting girls' right to go to school. The asteroid, discovered by the astrophysicist in 2010, circles the sun between Mars and Jupiter every five and half years, and is about four kilometers in diameter. The scientist decided Malala deserved to be immortalized and attached her name to the heavens, as she works to promote how educating girls can increase human potential.","A NASA astrophysicist has named an asteroid after Malala Yousafzai, the teenage education activist who was shot in the head by the Pakistani Taliban for championing the cause of educating girls. Amy Mainzer, who discovered Asteroid 316201 in 2010, appreciated that few asteroids were named to honour women, so she decided to immortalise Malala. Malala's eponymous asteroid circles the sun every five and a half years and is around 4 km in diameter."
28,"Excrement thrown at the statue of British colonialist Cecil John Rhodes has triggered a wave of protests across South Africa against 'racist' historical figures. Memorials to South Africa's colonial past were defaced by mainly young black protesters as statues of British monarchs Queen Victoria and King George V were splashed with paint in the cities of Port Elizabeth and Durban respectively. Vandals poured paint over Scottish-South African missionary Andrew Murray's statue in the Western Cape. War memorials were also defaced. A bronze rider marking the Anglo-Boer War from 1899 to 1902, was toppled from his horse. Object of anger: This statue of Queen Victoria outside the Port Elizabeth city library in South Africa is among a number of memorials to British colonials that have been vandalised during protests against 'racist' figures . A statue of a British soldier lays on the ground after being broken off its base in Port Elizabeth, South Africa . The defaced statue of British mining magnate and politician, Cecil John Rhodes, is lifted by a crane, from its position at the University of Cape Town (left), while (right) a chair marks the spot on the plinth where the decades old bronze statue stood before it was vandalised . In the latest demonstration, vandals smeared paint the figure of a young Mohandas Gandhi. Standing in the square in downtown Johannesburg named for Mahatma Gandhi, the memorial marks the Indian anti-colonial leader's time in South Africa, where he formulated the principle of passive resistance. The protester, who smudged white paint on Gandhi's cloak, accused him of being racist during his time in the country. Founding fathers of Afrikaner nationalism were also targeted. In Pretoria, the memorial of 19th century Afrikaner leader Paul Kruger was twice daubed with bright green paint, while the statue of Marthinus Pretorius, who founded the capital city, was splashed with reddish brown paint, according to local media reports. The statue of Louis Botha, the president of the South African Union in the early 1900s, was smeared with red and blue paint outside parliament in Cape Town on the same day that the Rhodes sculpture was removed from its perch overlooking the University of Cape Town after weeks of student protest. In the Free State province, a statue of Boer General Jan Fick was splashed with red paint in the town named after him in 1883, Ficksburg. Another statue is cleaned down after being splashed with green paint on Pretoria's Church Square . Security guards (left) walk past a statue of former South African statesman and Afrikaner leader Louis Botha, which has been defaced with red paint outside the South African parliament building in Cape Town . Several people have been arrested and local authorities have spent thousands of dollars cleaning up the statues. The opposition party, the Economic Freedom Fighters, has come out in support of its members who have claimed responsibility for these acts of vandalism. It comes days after white solidarity groups held protests over the removal of a statue of British colonialist Cecil Rhodes from the University of Cape Town after it",cnndm,"Protests against 'racist' historical figures have erupted across South Africa, resulting in the defacing of memorials to the country's colonial past, vandalism of statues of British monarchs and Scottish-South African missionary Andrew Murray as well as war memorials. The defacing of the statue of British colonialist Cecil John Rhodes prompted a wave of protests, with several statues vandalised and covered in paint, resulting in several arrests and local authorities cleaning up the damage, costing thousands of dollars. The opposition party, the Economic Freedom Fighters, has supported its members claiming responsibility for the acts of vandalism.","Protests have erupted across South Africa, defacing historical monuments and statues, including those of British monarchs Queen Victoria and King George V, Scottish-South African missionary Andrew Murray, and colonial figures Cecil John Rhodes and Jan Fick. The actions were carried out by young black protesters, who view these figures as symbols of racist colonialism. The defacing of the monuments has led to several arrests and high cleaning costs for local authorities, but has garnered support from the opposition party, the Economic Freedom Fighters."
29,"A wartime scientist has revisited the secret underground factory where she helped build aircraft engines 70 years since the end of the Second World War. Mary Cartwright was 20 when she was called up to work in the laboratory at Drakelow Shadow Factory in Kidderminster, Worcestershire, in 1943. She spent two years testing metal for Bristol aircraft engines in the site's underground laboratory, working as the only woman in her department. Now, 70 years after leaving her position, the 91-year-old great-grandmother has revisited the now defunct factory. Mary Cartwright revisited Drakelow Underground Factory in Kidderminster, Worcestershire, where more than 700 people worked during the war (right) to produce aircraft engines. Now 91, the great grandmother tested metal for aircraft engines . Revisiting the site with her son, David, Mrs Cartwright said it was 'strange' to see it so quiet. She worked as the only woman in its laboratory between 1943 and 1945 . Built in 1943, the factory became known as Drakelow Tunnels for its vast network of underground paths spread over three-and-a-half miles. It was one of 26 'shadow' sites set-up to mass produce engines and parts for military aircraft and tanks that were built underground or into hillside so that production could continue if bombed. Designed by Rover at the behest of the Air Ministry, Drakelow employed 700 people when Mrs Cartwright began working there. Arriving every day at 8.30am, she used scientific formulas to analyse the ratio of metals in shavings given to her by 'the men'. Spanning more than three miles, the site became known as the Drakelow Tunnels for its vast network of secret passageways . The entrance to one of the tunnels which are built into hillside beneath Kingsford Country Park, Kidderminster . Another of the tunnels' entrances in Kingsford Country Park. While built at road level it is 300ft from the top of the hill . Set up by Rover under the instruction of the Air Ministry, Drakelow was one of 26 'underground' factories established to allow production lines to continue if the country came under fire . With more than 700 people working at the site at a time it was one of the largest underground factories during the war . Mrs Cartwright was sent to work there in 1943 after being called up at the age of 20. She had wanted to join the Civil Service beforehand . A stretch of offices in the underground factory. Their windows were high up so that staff would not be distracted by co-workers walking by . The kitchen where staff would have eaten during one of the long, underground shifts. Mrs Cartwright had no previous experience when she was called up, but said she 'just got on with the job' Mrs Cartwright said while the tunnels were built to protect production lines from bombing, by the time she began working at Drakelow the worst of the raids had already hit the country. Right, a newspaper cutting from 1941 detailing the deaths of three men killed when one of the tunnels collapsed during 'excavating operations' 'I'd had",cnndm,"Mary Cartwright, a wartime scientist who helped build aircraft engines, has revisited the secret underground factory where she worked during the Second World War, 70 years after leaving her position. Working as the only woman in her department, Mrs Cartwright spent two years testing metal for Bristol aircraft engines, analysing the ratio of metals in shavings given to her by her male colleagues. The factory, known as Drakelow Shadow Factory and built in 1943, was one of 26 'shadow' sites set up to mass produce engines and parts for military aircraft and tanks that were built underground to protect production lines from bombing.","Mary Cartwright, a 91-year-old great-grandmother, has revisited the secret underground factory in Kidderminster, Worcestershire where she helped build aircraft engines during WWII. She spent two years testing metal for Bristol aircraft engines in the site's underground lboratory, working as the only woman in her department at Drakelow Shadow Factory. Built in 1943, Drakelow was one of 26 underground sites set up to mass produce engines and parts for military aircraft and tanks that were built underground or into hillside so that production could continue if bombed."
30,"The town of Reading may have been swept up in FA Cup euphoria, but Steve Clarke has instructed his players to approach this weekend's semi-final like any other day at work. It has been 88 years since the Royals last reached the last-four juncture and the SkyBet Championship side travel to Wembley facing the unenviable task of overcoming in-form Arsenal. Reading are striving to make the FA Cup final for the first time in their history, leading to excitement understandably building in Berkshire - if not the club's Hogwood Park training ground. Reading overcame League One side Bradford with a 3-0 replay win to progress to FA Cup semi-final . Clarke, a winner as player and coach at Chelsea, has told his players not to get caught up in the occasion, with progression the only objective. 'I think when you go through to semi-finals, the only way to enjoy it is to win the game,' the Reading manager said. 'You can't go to Wembley and play the occasion. It is not about playing the occasion, we're playing Arsenal. 'For us, it has to be a day of work. We have to go there focused only on what happens on the pitch. The Royals face Premier League giants Arsenal in crunch clash on Saturday at Wembley . 'The supporters can go and enjoy the day, that's their little reward for a cup run. 'For us, it is to go there with a mentality that we are there to do a job and if we do that right we can go through.' Clarke is confident his players can make history on Saturday, even though few outsiders share his faith. One bookmaker has them at 14/1 to win and Reading's manager accepts they will have to play the 'perfect game' to overcome an Arsenal side on the back of eight straight league wins. It has been 88 years since Reading last made an appearance in the semi-finals of the FA Cup . 'They look strong, well-balanced,' Clarke said. 'They're winning games. 'They have terrific players. Great problems for us to solve. 'Maybe they have left their run too late to catch Chelsea at the top but certainly a good chance to finish the season strongly.' Reading have no fresh injury concerns ahead of the semi-final, with Pavel Pogrebnyak fit after a slight calf complaint ruled him out of Tuesday's 1-0 loss to table-topping Bournemouth. Steve Clarke was appointed Reading manager in December 2014 to replace Nigel Adkins . Clarke felt defeat was harsh on his side, stretching a run of winless matches to five since winning the quarter-final replay against Bradford. 'Cup competitions, one-off games, we seem to have approached it with a little bit more freedom, a little less nervousness, if you like,' the Royals boss said. 'I think the league campaign has been disappointing. There is sort of a feeling of doom and gloom around the league campaign this year which is never nice. Reading have struggled in the Championship but have brought FA Cup euphoria to the town with their great run",cnndm,"Reading manager, Steve Clarke, has instructed his players to treat the upcoming FA Cup semi-final game against Arsenal like any other day at work. The Royals haven't reached the last-four juncture for 88 years, but Clarke has told his team not to get caught up in the occasion, with the only objective being progression to the final. However, bookmakers are giving Reading a 14-1 chance of winning against an Arsenal side on the back of eight straight Premier League wins.","Reading will face Arsenal in the FA Cup semi-final at Wembley, with the underdogs facing ""the unenviable task"" of overcoming the in-form Premier League giants. Despite the excitement building in Berkshire, Reading's manager, Steve Clarke, has instructed his players to approach the game like any other day at work, and to only allow themselves to enjoy the day if they win the game. Few share Clarke's optimism; one bookmaker has the Royals at 14-1 to win against Arsene Wenger's side.
"
31,"Holidaying with the lair of a tiger as your closest neighbour might not sound like the cleverest idea in the world but it is certainly a once-in-a-lifetime experience that won't be forgotten. For £3,500, tourists are being invited to book a trip to Russia and sleep in the natural habitat of the Siberian tiger, one of the world's most endangered animals. Bespoke tour operators Natural World Safaris is offering the rare trip which also gives guests a unique opportunity to view the big cat. A safari stay in Russia offers tourists the chance to spot, and sleep near, one of the world's most endangered animals- the Siberian tiger . Bespoke holiday providers Natural World Safaris is offering the rare trip which gives guests a unique opportunity to view the big cat . The trip to Durminskoye Reserve in Khabarovsk lasts seven days in total with guests spending time in the wild environs inhabited by the last remaining Siberian tigers, and setting camera traps with the experts in the hope of catching an insight into the lives of these endangered predators. They will walk in the footsteps of the world’s biggest cats and spend time with Alexander Batalov, a frontline Russian conservationist who has spent the last 20 years of his life trying to protect the rare Siberian tiger. The facilities are described as 'basic' and guests are provided with a translator throughout the stay. The daily activity is to explore the Reserve in the hope of picking up tracks of the Siberian tigers that reside in this area. This shot was captured at night as a Siberian Tiger walked down a narrow road in the Durminskoye Reserve, where guests can stay . Huntsman’s hut in the forest – sustainable hunting is still allowed in the forest and the hut is also used as a base of operations . The safari does not actively track them as this risks guests coming face-to-face with the animals themselves, which is why still and video cameras are set up. The images and footage from these actively assist Alexander and his team as they work to save the tigers of the region from extinction. Managing Director of Natural World Safaris and expert in wildlife encounters, Will Bolsover, told MailOnline Travel: ‘The trip is one of the rarest wildlife travel opportunities remaining today. Alexander Batalov, a frontline Russian conservationist, has spent the last 20 years of his life trying to protect the rare Siberian tiger . Inside Balatov's hut, dedicated to the natural world as you might expect with a range of feathers and animal bones . 'Spending time with Alexander Batalov in the home of the some of the last remaining Siberian tigers in Russia’s Far East, setting camera traps, tracking tiger footprints and collecting vital conservation data is a superb opportunity.’ It is estimated the current wild population of Siberian tigers under 400, making the species officially endangered. Siberian tigers were once found throughout the Russian Far East, northern China, and the Korean peninsula but by the 1940s, hunting had driven the species, also known as",cnndm,"Natural World Safaris is offering a seven-day trip to Durminskoye Reserve in Khabarovsk, Russia, to sleep in the natural habitat of the Siberian tiger. The £3,500 trip, considered one of the rarest wildlife travel opportunities remaining, gives tourists the chance to view the big cat, as well as set up camera traps to help conserve the endangered species. The Siberian tiger population is estimated to be under 400, making the species officially endangered.","Natural World Safaris is offering a rare seven-day trip to Durminskoye Reserve in Russia for £3,500, which provides tourists with the opportunity to sleep near one of the world's most endangered animals, the Siberian Tiger. Guests set camera traps with experts to gain an insight into the lives of these endangered predators and to provide footage for conservationists working to save them from extinction. The trip is described by the Managing Director of Natural World Safaris and expert in wildlife encounters, Will Bolsover, as ""one of the rarest wildlife travel opportunities remaining today""."
32,"Marcelo insists Real Madrid's this season's meetings with local rivals Atletico Madrid will have no bearing on the outcome of their Champions League quarter-final tie. The reigning champions face Diego Simeone's side at Vicente Calderon on Tuesday night in the first leg of the last eight clash having failed to beat their neighbours in six attempts this season. Carlo Ancelotti's side lost both La Liga matches against Atletico this season - 2-1 at the Bernabeu before a humiliating 4-0 away defeat - and have also been beaten twice and held to two draws in the Spanish Supper Cup and the Copa del Rey. Marcelo says Real Madrid's failure to beat Atletico in six attempts this season will have no affect on their Champions League quarter-final tie . Marcelo and Cristiano Ronaldo looked relaxed in training on Monday ahead of Tuesday's first leg . Brazil international Marcelo faces the media on Monday ahead of Tuesday's match at Vicente Calderon . But Brazil international Marcelo says he and his team-mates are not thinking about their recent form against Tuesday's opponents. 'We have played against Atletico a lot and something always changes,' Marcelo told reporters at a press conference on Monday. There are no favourites in a match like this. We will give everything on the pitch without thinking about previous games.' 'They are a great team. They never stop fighting and they are very intense. But we are not thinking about the last games against them. Now is completely different. We have two games to show that we can beat them.' Ronaldo and Bale leave the field dejected after Real Madrid were beaten 4-0 by Atletico in February . The last time Real Madrid beat their local rivals was in the Champions League final last season . Carlo Ancelotti and Marcelo task questions at the pre-match press conference . 'We have to go out and give everything on the pitch this time. We will have to be very intense. We will have to fight. These derbies are very difficult.' The last time Real beat Atletico was in last season's Champions League final when Sergio Ramos scored in the 93rd minute to take the game to extra-time, before Gareth Bale, Marcelo and Cristiano Ronaldo made it 4-1. 'I don't know how many times we have spoken about Ramos' Decima goal this week,' Marcelo added. 'I was available for the final and I never lost faith in helping the team. That's what happened and I was able to help the team win the Champions League. I consider myself very important in this team.'",cnndm,"Real Madrid's left-back Marcelo has insisted that his team's meetings with local rivals Atletico Madrid this season will have no bearing on the outcome of their Champions League quarter-final tie. Madrid have failed to beat Atletico in six attempts, but Marcelo says they are not thinking about their recent form against their opponents. The reigning champions face Diego Simeone's side at Vicente Calderon on Tuesday night in the first leg of the last eight clash.","Real Madrid left-back Marcelo has dismissed the importance of the previous six derby games between Real Madrid and Atletico Madrid, saying there are no favourites in matches like these. The reigning champions play Atletico Madrid on Tuesday night in the first leg of the last eight tie. Madrid haven't defeated their neighbouring rivals in any of their six clashes this season.
"
33,"Ukip’s Suzanne Evans today said she will step in as party leader if Nigel Farage quits because of ill health. Mr Farage has revealed that he is suffering from a recurring spinal injury that means he is on medication and making twice weekly hospital visits. The Ukip leader has also pledged to be 'gone within 10 minutes' if he fails to win in Thanet South where he is standing to become an MP. Scroll down for video . Stepping into the breach: The party's deputy chairman Suzanne Evans (pictured right) said she would step in as leader if Mr Farage (left) is forced to pull out due to ill health. But she played down his medical problems . Asked what she would do if Mr Farage asked her to 'carry on the mantle', Miss Evans today told Murnaghan on Sky News: 'Well if he said that to me, of course I would, yes. 'But he’s going to win and I cannot wait to see him in the House of Commons, he will really shake things up, it is a very exciting prospect.' Miss Evans, who is the party's deputy chairman, down-played Mr Farage's medical problems. She added: 'His health is fine, his health is absolutely fine and whilst Nigel is leader he has my 100% support. 'He’s a great leader, look what he’s done for this party over 22 years, battered, bruised, physically, verbally, in all manner of ways. He is the man for the job.' In pain: Ukip leader Nigel Farage is suffering from a recurring spinal injury and is on medication . Miss Evans is seen as the party's rising star and has been increasingly tipped as Mr Farage's successor because of strong media performances. She wrote the party's general election manifesto. After the manifesto launch, she was praised for her assured and confident performance and she received Mr Farage’s personal thanks. In January she stepped in as policy chief after Tim Aker quit amid reports he was failing to deliver it on time. Miss Evans, who is a former BBC local radio journalist, works freelance as a PR and marketing consultant and in 2011 founded a health charity for women. In May 2013 she came to prominence when she defected from the Tories to Ukip with a group of councillors in Merton, south London, but she lost her seat in local election last year. She is regularly used by the party for appearances on programmes such as Question Time and Newsnight, and has been fronting the party’s election campaign morning press conferences. But despite increasing talk about her leadership potential, senior Ukip figures privately admit she is unlikely to be elected in Shrewsbury & Atcham, the Shropshire seat where she is standing to become MP. Mr Farage has said it would be difficult for his successor not to have a place in the Commons without the ‘potential for conflict’.",cnndm,"Ukip's Suzanne Evans, the party's deputy chairman, has announced that she is willing to step in as leader if Nigel Farage were to quit due to ill health. While rumours circulate that Evans is being lined up as Farage's successor, he has reportedly dismissed these suggestions, claiming that she is unlikely to win a seat in the Commons, and that it would be difficult for his successor not to have a place in the Commons without the 'potential for conflict.'
","Suzanne Evans, deputy chairman of UKIP, has announced that she is willing to step in as leader of the party should Nigel Farage resign due to his recurring spinal injury. Despite her readiness to take over, she played down Mr Farage's medical problems and expressed her support of his work as leader. Many people have tipped Miss Evans as the best option for Farage's successor as party leader. 
"
